cat_a,cat_b,median_resid_ratio,mean_resid_ratio,cos_recon,cos_w,cos_caa_raw
anger,fear,0.8041364848613739,0.838661327958107,0.6645386219024658,0.8498387336730957,0.5025994181632996
disgust,joy,0.9274871647357941,1.6423097848892212,-0.08714678883552551,0.09179728478193283,-0.05329376831650734
joy,anger,0.7804732024669647,0.8006136864423752,0.05889132246375084,0.0862545445561409,0.07943412661552429
joy,sadness,0.6923112571239471,0.6777958273887634,0.041818346828222275,0.05597354471683502,-0.012568086385726929
